Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
165 trigger=arch_.|/**/** [reward] curr=-7.70 best=-7.70
166 trigger=arch_.|/**/** [reward] curr=-5.88 best=-7.70
167 trigger=arch_.|/**/** [reward] curr=-7.31 best=-7.70
168 trigger=arch_.|/**/** [reward] curr=-7.51 best=-7.70
169 trigger=arch_.|/**/** [reward] curr=1.50 best=-7.70
170 trigger=vers_.|/**/** [reward] curr=-8.20 best=-8.20
171 trigger=vers_.|/**/** [reward] curr=-8.20 best=-8.20
172 trigger=vers_.|/**/** [reward] curr=1.92 best=-8.20
173 trigger=vers_.|/**/** [reward] curr=-7.17 best=-8.20
174 trigger=vers_.|/**/** [reward] curr=-6.97 best=-8.20
175 trigger=vers_.|/**/** [reward] curr=-6.96 best=-8.20
176 trigger=vers_.|/**/** [reward] curr=1.42 best=-8.20
177 trigger=vers_.|/**/** [reward] curr=1.45 best=-8.20
178 trigger=vers_.|/**/** [reward] curr=-5.96 best=-8.20
179 trigger=vers_.|/**/** [reward] curr=1.81 best=-8.20
[dets trigger] vers_.|/**/**	 (1224,5396,29989,7918,7918)
180 trigger=vers_.|/**/** [reward] curr=1.45 best=-8.20
181 trigger=vers_.|/**/** [reward] curr=-5.25 best=-8.20
182 trigger=vers_.|/**/** [reward] curr=-5.68 best=-8.20
183 trigger=vers_.|/**/** [reward] curr=-6.39 best=-8.20
184 trigger=vers_.|/**/** [reward] curr=-5.28 best=-8.20
185 trigger=vers_.|/**/** [reward] curr=1.66 best=-8.20
186 trigger=vers_.|/**/** [reward] curr=1.55 best=-8.20
187 trigger=vers_.|/**/** [reward] curr=-6.96 best=-8.20
188 trigger=vers_.|/**/** [reward] curr=-5.48 best=-8.20
189 trigger=vers_.|/**/** [reward] curr=-5.59 best=-8.20
190 trigger=vers_.|/**/** [reward] curr=0.50 best=-8.20
191 trigger=vers_.|/**/** [reward] curr=1.81 best=-8.20
192 trigger=vers_.|/**/** [reward] curr=0.37 best=-8.20
193 trigger=vers_.|/**/** [reward] curr=-5.28 best=-8.20
194 trigger=vers_.|/**/** [reward] curr=-6.39 best=-8.20
195 trigger=vers_.|/**/** [reward] curr=-6.97 best=-8.20
196 trigger=vers_.|/**9 [reward] curr=-8.23 best=-8.23
197 trigger=vers_.|/**9 [reward] curr=1.11 best=-8.23
198 trigger=Don_.|/**9 [reward] curr=-8.46 best=-8.46
199 trigger=Don_.|/**9 [reward] curr=-8.30 best=-8.46
[dets trigger] Don_.|/**9	 (3872,5396,29989,7918,29929)
[iterations] outer=1 spent=200 time=1848.1 s [reward] best=-8.46
New outer iteration, current iterations=200
Don_.|/**9	 (3872,5396,29989,7918,29929)
1
2
Using 40 examples.
0 trigger=Don_.|/**9 [reward] curr=-6.29 best=-6.29
1 trigger=Don_.|/**9 [reward] curr=-6.05 best=-6.29
2 trigger=en_.|/**9 [reward] curr=-6.79 best=-6.79
3 trigger=en_.|/**9 [reward] curr=-5.77 best=-6.79
